Q1,Q2,Q3,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,type,hardest,comments
agree,agree,agree,2nd,3rd,crew,1st,female first class,crew survivor,male survivor,aa,4,
disagree,disagree,agree,crew,3rd,2nd,1st,female first class,male survivor,crew survivor,ca,5,not clear
disagree,agree,agree,crew,3rd,2nd,1st,crew survivor,male survivor,female first class,hammock,,
agree,unknown,agree,2nd,3rd,crew,1st,female first class,crew survivor,male survivor,ca,,
disagree,agree,agree,crew,3rd,2nd,1st,NR,NR,NR,hammock,5,cannot order
agree,agree,agree,2nd,crew,3rd,1st,female first class,crew survivor,male survivor,ps,,
agree,agree,agree,2nd,1st,3rd,crew,female first class,crew survivor,male survivor,aa,4,not sure
agree,agree,unknown,2nd,3rd,crew,1st,crew survivor,female first class,male survivor,ca,,
agree,agree,unknown,2nd,3rd,1st,crew,female first class,crew survivor,male survivor,aa,,
disagree,agree,agree,1st,2nd,3rd,crew,crew survivor,male survivor,female first class,hammock,,
agree,agree,agree,2nd,crew,3rd,1st,female first class,crew survivor,male survivor,ps,,
disagree,agree,agree,2nd,3rd,crew,1st,female first class,crew survivor,male survivor,ca,,"I'm pretty sure about my answers, switch colors"
agree,agree,agree,2nd,crew,3rd,1st,crew survivor,female first class,male survivor,ps,5,hard to distinguish widths [between crew survivor and female first class]
disagree,agree,agree,crew,3rd,2nd,1st,crew survivor,male survivor,female first class,hammock,5,"thickness of diagonals, Lendie!"
agree,agree,agree,2nd,3rd,crew,1st,female first class,crew survivor,male survivor,ca,5,
agree,agree,agree,2nd,3rd,1st,crew,female first class,crew survivor,male survivor,aa,,
disagree,unknown,disagree,2nd,crew,3rd,1st,female first class,crew survivor,male survivor,ps,,
agree,agree,agree,NR,NR,NR,NR,female first class,crew survivor,male survivor,hammock,,"Susan, 1,2,4,5 are hard; 3 is easy; can't see lt green against grey"
agree,agree,agree,2nd,crew,3rd,1st,crew survivor,female first class,male survivor,ps,5,"4 is not so easy, 5 = hard"
agree,unknown,agree,2nd,3rd,crew,1st,female first class,crew survivor,male survivor,ca,5,adam
disagree,NR,agree,2nd,3rd,crew,1st,NR,NR,NR,aa,4,di; more gridlines
disagree,agree,agree,2nd,3rd,crew,1st,female first class,crew survivor,male survivor,aa,5,"4 is not so easy, 5 = hard"
agree,agree,agree,2nd,3rd,crew,1st,male survivors,female first class,crew survivor,ca,,
agree,agree,agree,2nd,3rd,1st,crew,female first class,male survivor,crew survivor,hammock,5,
agree,agree,agree,2nd,crew,3rd,1st,crew survivor,female first class,male survivor,ps,,fairly certain for all
agree,agree,agree,crew,3rd,2nd,1st,male survivors,crew survivor,female first class,hammock,5,
